Namespace,Hours
sdsu-rci-jh,88421.19999999976
csu-tide-jupyterhub,26989.400000000278
sdsu-smile,9746.0
sdsu-llm,8052.0
csusb-jupyterhub,6600.0
csusb-khan,5405.0
sdsu-aicenter,5368.0
csun-edl,5360.0
sdsu-henry-li,5256.0
csusb-hpc,4052.0
sdsu-shen-climate-lab,1600.0
sdsu-goldberg,1342.0
sdsu-rci-jh-dev,410.39999999999327
sdsu-tend-lab,290.6
csu-tide-jupyterhub-dev,268.40000000000185
csuf-titans,256.0
csusb-pycharm,205.0
csusb-ai,172.5
cal-poly-humboldt-test01,159.0
csusb-zhang,102.5
sdsu-mikefarley,67.00000000000047
sdsu-kylekrick,58.0
csusb-hamouda,44.50000000000036
csun-deep-learning,42.1
csusb-putman,41.00000000000004
csusb-hub-dev,41.0
csusb-qchen,41.0
csusb-mpi,20.5
cal-poly-humboldt-microglia,4.0
sdsu-lpcdrp,2.0
